BSSID, time, power, channel, sequence, essid_length, ESSID
08:1F:F3:B3:EB:58, 2012-02-26 13:13:31, -88, -1, 2767, 9, GTvisitorÔ∏Y∑òP‡	
00:1C:0E:43:EB:1E, 2012-02-26 13:13:31, -87, -1, 819, 10, GTwireless∏Y∑òP‡	
00:15:C7:AA:D1:A7, 2012-02-26 13:13:31, -52, 1, 228, 9, GTvisitors∏Y∑òP‡	
00:15:C7:AA:D5:37, 2012-02-26 13:13:31, -72, 1, 1559, 9, GTvisitors∏Y∑òP‡	
00:15:C7:AB:04:24, 2012-02-26 13:13:31, -84, 1, 3825, 5, GTwpaitors∏Y∑òP‡	
94:44:52:FB:65:B2, 2012-02-26 13:13:31, -81, 1, 2224, 10, belkin.5b2∏Y∑òP‡	
00:15:C7:AA:D1:A1, 2012-02-26 13:13:31, -52, 1, 229, 10, GTwireless∏Y∑òP‡	
00:13:10:43:4F:22, 2012-02-26 13:13:31, -83, 1, 353, 7, OpenWrt
34:08:04:E1:48:58, 2012-02-26 13:13:31, -72, 2, 1430, 7, stratus
00:19:A9:43:1C:D7, 2012-02-26 13:13:31, -80, 1, 181, 9, GTvisitor
00:15:C7:AA:D1:A4, 2012-02-26 13:13:31, -53, 1, 230, 5, GTwpaitor
00:15:C7:AA:D5:34, 2012-02-26 13:13:31, -72, 1, 1561, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-02-26 13:13:31, -52, 1, 231, 9, GTvisitor
00:15:C7:AA:D5:37, 2012-02-26 13:13:31, -72, 1, 1562, 9, GTvisitor
94:44:52:FB:65:B2, 2012-02-26 13:13:31, -81, 1, 2226, 10, belkin.5b2
00:15:C7:AB:04:27, 2012-02-26 13:13:31, -83, 1, 3829, 9, GTvisitor2
00:15:C7:AA:D1:A1, 2012-02-26 13:13:31, -52, 1, 232, 10, GTwireless
00:13:10:43:4F:22, 2012-02-26 13:13:31, -83, 1, 354, 7, OpenWrtess
34:08:04:E1:48:58, 2012-02-26 13:13:31, -73, 2, 1431, 7, stratus
00:19:A9:43:1C:D7, 2012-02-26 13:13:31, -80, 1, 184, 9, GTvisitor
00:15:C7:AB:04:21, 2012-02-26 13:13:31, -84, 1, 3830, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-02-26 13:13:31, -53, 1, 233, 5, GTwpaeless
00:15:C7:AA:D5:34, 2012-02-26 13:13:31, -72, 1, 1564, 5, GTwpaeless
00:15:C7:AA:D1:A7, 2012-02-26 13:13:32, -52, 1, 234, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-02-26 13:13:32, -71, 1, 1565, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 13:13:32, -81, 1, 2227, 10, belkin.5b2
00:15:C7:AB:04:27, 2012-02-26 13:13:32, -84, 1, 3832, 9, GTvisitor2
00:15:C7:AA:D1:A1, 2012-02-26 13:13:32, -53, 1, 235, 10, GTwireless
00:13:10:43:4F:22, 2012-02-26 13:13:32, -83, 1, 355, 7, OpenWrtess
00:15:C7:AA:D1:A4, 2012-02-26 13:13:32, -52, 1, 240, 5, GTwpa
00:15:C7:AA:D5:37, 2012-02-26 13:13:32, -70, 1, 1571, 9, GTvisitor
94:44:52:FB:65:B2, 2012-02-26 13:13:32, -80, 1, 2228, 10, belkin.5b2
00:15:C7:AB:04:27, 2012-02-26 13:13:32, -86, 1, 3838, 9, GTvisitor2
00:15:C7:AA:D1:A1, 2012-02-26 13:13:32, -60, 1, 250, 10, GTwireless
00:13:10:43:4F:22, 2012-02-26 13:13:32, -82, 1, 356, 7, OpenWrtess
34:08:04:E1:48:58, 2012-02-26 13:13:32, -73, 2, 1433, 7, stratusess
00:19:A9:43:1C:D7, 2012-02-26 13:13:32, -80, 1, 190, 9, GTvisitor
00:15:C7:AB:04:21, 2012-02-26 13:13:32, -86, 1, 3839, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-02-26 13:13:32, -60, 1, 251, 5, GTwpaeless
00:15:C7:AB:38:B4, 2012-02-26 13:13:32, -85, 1, 2798, 5, GTwpaeless
00:15:C7:AA:D5:34, 2012-02-26 13:13:32, -69, 1, 1573, 5, GTwpaeless
00:15:C7:AA:D1:A7, 2012-02-26 13:13:32, -59, 1, 252, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-02-26 13:13:32, -71, 1, 1574, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 13:13:32, -79, 1, 2229, 10, belkin.5b2
00:15:C7:AA:D1:A1, 2012-02-26 13:13:32, -58, 1, 253, 10, GTwireless
00:13:10:43:4F:22, 2012-02-26 13:13:32, -84, 1, 357, 7, OpenWrtess
34:08:04:E1:48:58, 2012-02-26 13:13:32, -73, 2, 1434, 7, stratusess
00:19:A9:43:1C:D7, 2012-02-26 13:13:32, -81, 1, 193, 9, GTvisitor
00:15:C7:AA:D1:A4, 2012-02-26 13:13:32, -52, 1, 255, 5, GTwpaitor
00:15:C7:AA:D5:34, 2012-02-26 13:13:32, -69, 1, 1576, 5, GTwpaitor
00:15:C7:AA:D1:A7, 2012-02-26 13:13:32, -52, 1, 256, 9, GTvisitor
00:15:C7:AA:D5:37, 2012-02-26 13:13:32, -68, 1, 1577, 9, GTvisitor
