Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;00:15:C7:AB:2D:E4;;133;No;WPA,None;No;-1.0;0;0;0;6;0;0;6;;;Sun Feb 26 13:28:43 2012;Sun Feb 26 13:28:59 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;MC2LabNetA;00:22:B0:CB:22:8F;;3;No;WPA2,AES-CCM;No;54.0;0;156;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;00:15:C7:AB:38:B4;;108;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Feb 26 13:28:25 2012;Sun Feb 26 13:28:41 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;GTvisitor;00:15:C7:AB:06:07;;1;No;OPN,None;No;54.0;0;23;0;0;0;0;0;;;Sun Feb 26 13:28:24 2012;Sun Feb 26 13:29:23 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;GTwpa;9C:4E:20:C9:3F:94;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;32;0;0;32;;;Sun Feb 26 13:28:24 2012;Sun Feb 26 13:28:42 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;GTwireless;00:15:C7:AA:D5:31;;1;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Sun Feb 26 13:28:33 2012;Sun Feb 26 13:28:41 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;GTvisitor;9C:4E:20:C9:3F:97;;1;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Sun Feb 26 13:28:29 2012;Sun Feb 26 13:28:42 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;GTwpa;00:15:C7:AB:06:04;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;14;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:28:37 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;GTwireless;00:15:C7:AB:5A:81;;1;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:28:34 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;OpenWrt;00:13:10:43:4F:22;;1;No;OPN,None;No;54.0;0;0;0;0;0;0;0;;;Sun Feb 26 13:28:34 2012;Sun Feb 26 13:28:43 2012;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;GTwireless;9C:4E:20:C9:3F:91;;1;No;WEP;No;54.0;0;16;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:28:43 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;belkin.5b2;94:44:52:FB:65:B2;;1;No;WPA2,AES-CCM;No;54.0;0;96;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;GTwireless;00:15:C7:AB:06:01;;1;No;WEP;No;54.0;0;26;0;1;0;0;1;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;stratus;34:08:04:E1:48:58;;2;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;32;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;GTwpa;00:15:C7:AA:D1:A4;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;195;0;449;0;0;449;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;GTvisitor;00:15:C7:AA:D1:A7;;1;No;OPN,None;No;54.0;0;191;0;0;0;0;0;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;GTwireless;00:15:C7:AA:D1:A1;;1;No;WEP;No;54.0;0;16;0;115;0;0;115;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;lifenet;02:18:0A:01:B2:51;;1;No;OPN,None;No;54.0;0;252;0;17;0;0;17;;;Sun Feb 26 13:28:23 2012;Sun Feb 26 13:29:23 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;00:19:07:8E:36:60;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Feb 26 13:28:48 2012;Sun Feb 26 13:28:56 2012;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;;00:15:C7:AB:5A:80;;108;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Sun Feb 26 13:28:36 2012;Sun Feb 26 13:28:56 2012;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;john;00:0D:28:3E:95:A8;;11;No;WEP;No;11.0;0;174;0;0;0;0;0;;;Sun Feb 26 13:29:03 2012;Sun Feb 26 13:29:23 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
