
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:16:9C:49:28:10, 2012-02-26 13:30:13, 2012-02-26 13:30:28, -1,  -1,     ,       ,   , -69,        0,        0,   0.  0.  0.  0,   0, , 
00:15:C7:AB:38:B7, 2012-02-26 13:29:54, 2012-02-26 13:30:08, 108,  -1, OPN ,       ,   ,  -1,        0,        4,  38.110. 18.180,   0, , 
00:15:C7:AB:5A:87, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, OPN ,       ,   , -85,       98,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:13:10:43:4F:22, 2012-02-26 13:29:57, 2012-02-26 13:30:51,  1,  54, OPN ,       ,   , -87,        1,        0,   0.  0.  0.  0,   7, OpenWrt, 
00:15:C7:AB:38:B4, 2012-02-26 13:29:52, 2012-02-26 13:30:03, 108,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:44:52:FB:65:B2, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, WPA2, CCMP,PSK, -89,       67,        0,   0.  0.  0.  0,  10, belkin.5b2, 
00:15:C7:AB:5A:81, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  1,  54, WEP , WEP,   , -85,      111,        3,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AB:5A:84, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  1,  54, WPA2WPA , CCMP TKIP, MGT, -85,       92,        1,   0.  0.  0.  0,   5, GTwpa, 
9C:4E:20:C9:3F:94, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  1,  54, WPA2WPA , CCMP TKIP, MGT, -84,       24,        0,   0.  0.  0.  0,   5, GTwpa, 
9C:4E:20:C9:3F:97, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  1,  54, OPN ,       ,   , -84,       17,        0,   0.  0.  0.  0,   9, GTvisitor, 
9C:4E:20:C9:3F:91, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  1,  54, WEP , WEP,   , -84,       19,        0,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AB:06:04, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, WPA2WPA , CCMP TKIP, MGT, -84,      165,        1,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AB:06:01, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  1,  54, WEP , WEP,   , -83,      168,        1,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AB:06:07, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, OPN ,       ,   , -83,      179,        0,   0.  0.  0.  0,   9, GTvisitor, 
34:08:04:E1:48:58, 2012-02-26 13:29:51, 2012-02-26 13:30:11,  2,  54, WPA2WPA , CCMP TKIP,PSK, -79,       93,        0,   0.  0.  0.  0,   7, stratus, 
00:15:C7:AA:D1:A4, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, WPA2WPA , CCMP TKIP, MGT, -65,      187,     1588,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AA:D1:A7, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, OPN ,       ,   , -63,      188,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AA:D1:A1, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, WEP , WEP,   , -59,        7,      146,   0.  0.  0.  0,  10, GTwireless, 
02:18:0A:01:B2:51, 2012-02-26 13:29:51, 2012-02-26 13:30:51,  1,  54, OPN ,       ,   ,  -1,      195,       12,   0.  0.  0.  0,   7, lifenet, 
08:1F:F3:E1:99:00, 2012-02-26 13:29:52, 2012-02-26 13:30:12, 108,  -1, OPN ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:15:C7:AB:2D:E7, 2012-02-26 13:30:19, 2012-02-26 13:30:25,  6,  54, OPN ,       ,   , -85,        6,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AB:2D:E4, 2012-02-26 13:30:25, 2012-02-26 13:30:25,  6,  54, WPA2WPA , CCMP TKIP, MGT, -85,        2,        0,   0.  0.  0.  0,   5, GTwpa, 
