
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9C:4E:20:C9:46:B4, 2012-02-26 12:17:00, 2012-02-26 12:17:02,  6,  54, WPA2WPA , CCMP TKIP, MGT, -68,        4,        0,   0.  0.  0.  0,   5, GTwpa, 
00:18:F8:CB:1C:6A, 2012-02-26 12:17:00, 2012-02-26 12:17:02,  6,  54, WPA , TKIP,PSK, -78,        3,        0,   0.  0.  0.  0,   6, WODNET, 
00:1C:10:5A:B6:D7, 2012-02-26 12:17:00, 2012-02-26 12:17:02,  6,  54, WPA2, CCMP,PSK, -86,        3,        0,   0.  0.  0.  0,   8, palantir, 
9C:4E:20:C9:46:B7, 2012-02-26 12:17:00, 2012-02-26 12:17:02,  6,  54, OPN ,       ,   , -69,        3,        0,   0.  0.  0.  0,   9, GTvisitor, 
08:1F:F3:E1:90:44, 2012-02-26 12:17:00, 2012-02-26 12:17:01,  1,  54, WPA2WPA , CCMP TKIP, MGT, -77,        9,        0,   0.  0.  0.  0,   5, GTwpa, 
9C:4E:20:C9:43:17, 2012-02-26 12:17:00, 2012-02-26 12:17:01,  1,  54, OPN ,       ,   , -82,        6,        0,   0.  0.  0.  0,   9, GTvisitor, 
08:1F:F3:E1:90:41, 2012-02-26 12:17:00, 2012-02-26 12:17:01,  1,  54, WEP , WEP,   , -79,        8,        0,   0.  0.  0.  0,  10, GTwireless, 
08:1F:F3:E1:90:47, 2012-02-26 12:17:00, 2012-02-26 12:17:01,  1,  54, OPN ,       ,   , -77,        9,        0,   0.  0.  0.  0,   9, GTvisitor, 
9C:4E:20:C9:43:14, 2012-02-26 12:17:00, 2012-02-26 12:17:01,  1,  54, WPA2WPA , CCMP TKIP, MGT, -82,        6,        0,   0.  0.  0.  0,   5, GTwpa, 
1C:17:D3:33:1A:74, 2012-02-26 12:17:01, 2012-02-26 12:17:01,  1,  54, WPA2WPA , CCMP TKIP, MGT, -86,        2,        0,   0.  0.  0.  0,   5, GTwpa, 
9C:4E:20:C9:43:11, 2012-02-26 12:17:01, 2012-02-26 12:17:01,  1,  54, WEP , WEP,   , -83,        8,        0,   0.  0.  0.  0,  10, GTwireless, 
1C:17:D3:33:1A:71, 2012-02-26 12:17:01, 2012-02-26 12:17:01,  1,  54, WEP , WEP,   , -85,        5,        0,   0.  0.  0.  0,  10, GTwireless, 
1C:17:D3:33:1A:77, 2012-02-26 12:17:01, 2012-02-26 12:17:01,  1,  54, OPN ,       ,   , -86,        3,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AA:D1:A1, 2012-02-26 12:17:01, 2012-02-26 12:17:01,  1,  54, WEP , WEP,   , -85,        2,        0,   0.  0.  0.  0,  10, GTwireless, 
9C:4E:20:C9:46:B1, 2012-02-26 12:17:01, 2012-02-26 12:17:02,  6,  54, WEP , WEP,   , -68,        2,        0,   0.  0.  0.  0,  10, GTwireless, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:23:08:73:F3:7D, 2012-02-26 12:17:00, 2012-02-26 12:17:00, -22,        1, (not associated) , GTwpa
AC:72:89:31:49:6C, 2012-02-26 12:17:00, 2012-02-26 12:17:00, -17,        2, 9C:4E:20:C9:46:B4,
74:F0:6D:43:1B:96, 2012-02-26 12:17:02, 2012-02-26 12:17:02, -79,        1, (not associated) ,

