Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;GTwpa;9C:4E:20:C9:46:B4;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:02 2012;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;WODNET;00:18:F8:CB:1C:6A;;6;No;WPA,TKIP;No;54.0;0;3;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:02 2012;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;palantir;00:1C:10:5A:B6:D7;;6;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:02 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;GTvisitor;9C:4E:20:C9:46:B7;;6;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:02 2012;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;GTwpa;08:1F:F3:E1:90:44;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:01 2012;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;GTvisitor;9C:4E:20:C9:43:17;;1;No;OPN,None;No;54.0;0;6;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:01 2012;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;GTwireless;08:1F:F3:E1:90:41;;1;No;WEP;No;54.0;0;8;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:01 2012;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;GTvisitor;08:1F:F3:E1:90:47;;1;No;OPN,None;No;54.0;0;9;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:01 2012;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;GTwpa;9C:4E:20:C9:43:14;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sun Feb 26 12:17:00 2012;Sun Feb 26 12:17:01 2012;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;GTwpa;1C:17:D3:33:1A:74;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sun Feb 26 12:17:01 2012;Sun Feb 26 12:17:01 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;GTwireless;9C:4E:20:C9:43:11;;1;No;WEP;No;54.0;0;8;0;0;0;0;0;;;Sun Feb 26 12:17:01 2012;Sun Feb 26 12:17:01 2012;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;GTwireless;1C:17:D3:33:1A:71;;1;No;WEP;No;54.0;0;5;0;0;0;0;0;;;Sun Feb 26 12:17:01 2012;Sun Feb 26 12:17:01 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;GTvisitor;1C:17:D3:33:1A:77;;1;No;OPN,None;No;54.0;0;3;0;0;0;0;0;;;Sun Feb 26 12:17:01 2012;Sun Feb 26 12:17:01 2012;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;GTwireless;00:15:C7:AA:D1:A1;;1;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Sun Feb 26 12:17:01 2012;Sun Feb 26 12:17:01 2012;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;GTwireless;9C:4E:20:C9:46:B1;;6;No;WEP;No;54.0;0;2;0;0;0;0;0;;;Sun Feb 26 12:17:01 2012;Sun Feb 26 12:17:02 2012;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
