BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -85, 1, 3253, 9, GTvisitorÔ8J∑ò@c
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -51, 1, 4081, 10, GTwireless8J∑ò@c
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -52, 1, 4082, 5, GTwpaeless8J∑ò@c
00:13:10:43:4F:22, 2012-03-31 18:00:08, -57, 1, 3522, 7, OpenWrtess8J∑ò@c
00:15:C7:AA:D1:A7, 2012-03-31 18:00:08, -83, 1, 2067, 9, GTvisitors8J∑ò@c
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -51, 1, 4083, 9, GTvisitors8J∑ò@c
00:15:C7:AA:D1:A1, 2012-03-31 18:00:08, -83, 1, 2068, 10, GTwireless8J∑ò@c
00:23:69:56:51:AB, 2012-03-31 18:00:08, -53, 3, 588, 9, 
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -51, 1, 4084, 10, GTwireless8J∑ò@c
00:15:C7:AA:D5:31, 2012-03-31 18:00:08, -86, 1, 3257, 10, GTwireless8J∑ò@c
00:15:C7:AA:D1:A4, 2012-03-31 18:00:08, -82, 1, 2069, 5, GTwpaeless8J∑ò@c
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -51, 1, 4085, 5, GTwpaeless8J∑ò@c
00:13:10:43:4F:22, 2012-03-31 18:00:08, -55, 1, 3523, 7, OpenWrtess8J∑ò@c
00:15:C7:AA:D1:A7, 2012-03-31 18:00:08, -83, 1, 2071, 9, GTvisitors8J∑ò@c
00:15:C7:AA:D5:34, 2012-03-31 18:00:08, -86, 1, 3258, 5, GTwpaitors8J∑ò@c
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -51, 1, 4086, 9, GTvisitor
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -85, 1, 3259, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-31 18:00:08, -83, 1, 2072, 10, GTwireless
00:23:69:56:51:AB, 2012-03-31 18:00:08, -54, 3, 589, 9, 
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -53, 1, 4087, 10, GTwireless
00:15:C7:AA:D5:31, 2012-03-31 18:00:08, -85, 1, 3260, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-31 18:00:08, -84, 1, 2073, 5, GTwpaeless
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -54, 1, 4088, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-31 18:00:08, -55, 1, 3524, 7, OpenWrtess
00:15:C7:AA:D5:34, 2012-03-31 18:00:08, -84, 1, 3261, 5, GTwpartess
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -53, 1, 4089, 9, GTvisitor
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -85, 1, 3262, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-31 18:00:08, -83, 1, 2075, 10, GTwireless
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -53, 1, 4090, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-03-31 18:00:08, -84, 1, 2076, 5, GTwpaeless
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -51, 1, 4091, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-31 18:00:08, -54, 1, 3525, 7, OpenWrtess
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -54, 1, 4092, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -83, 1, 3265, 9, GTvisitor
00:23:69:56:51:AB, 2012-03-31 18:00:08, -53, 3, 591, 9, 
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -57, 1, 4093, 10, GTwireless
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -57, 1, 4094, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-31 18:00:08, -53, 1, 3526, 7, OpenWrtess
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -58, 1, 4095, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -85, 1, 3268, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-31 18:00:08, -83, 1, 2081, 10, GTwireless
00:23:69:56:51:AB, 2012-03-31 18:00:08, -51, 3, 592, 9, 
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -56, 1, 0, 10, GTwireless
00:15:C7:AA:D5:31, 2012-03-31 18:00:08, -84, 1, 3269, 10, GTwireless
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -52, 1, 1, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-31 18:00:08, -53, 1, 3527, 7, OpenWrtess
00:15:C7:AA:D5:34, 2012-03-31 18:00:08, -83, 1, 3270, 5, GTwpartess
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -53, 1, 2, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -82, 1, 3271, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-31 18:00:08, -85, 1, 2084, 10, GTwireless
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -51, 1, 3, 10, GTwireless
00:15:C7:AA:D5:31, 2012-03-31 18:00:08, -82, 1, 3272, 10, GTwireless
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -52, 1, 4, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-31 18:00:08, -53, 1, 3528, 7, OpenWrtess
00:15:C7:AA:D5:34, 2012-03-31 18:00:08, -83, 1, 3273, 5, GTwpartess
00:12:44:B9:1C:D7, 2012-03-31 18:00:08, -51, 1, 5, 9, GTvisitors
00:15:C7:AA:D5:37, 2012-03-31 18:00:08, -82, 1, 3274, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-03-31 18:00:08, -85, 1, 2087, 10, GTwireless
00:23:69:56:51:AB, 2012-03-31 18:00:08, -50, 3, 594, 9, 
00:12:44:B9:1C:D1, 2012-03-31 18:00:08, -48, 1, 6, 10, GTwireless
00:15:C7:AA:D5:31, 2012-03-31 18:00:08, -83, 1, 3275, 10, GTwireless
00:12:44:B9:1C:D4, 2012-03-31 18:00:08, -49, 1, 7, 5, GTwpaeless
00:13:10:43:4F:22, 2012-03-31 18:00:08, -54, 1, 3529, 7, OpenWrtess
00:15:C7:AA:D1:A7, 2012-03-31 18:00:08, -85, 1, 2089, 9, GTvisitors
