BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:06:01, 2012-03-03 15:26:21, -83, 1, 3177, 10, GTwirelessò^∑ò0e
00:15:C7:AA:D1:A1, 2012-03-03 15:26:21, -53, 1, 3254, 10, GTwirelessò^∑ò0e
00:15:C7:AB:04:27, 2012-03-03 15:26:21, -86, 1, 2110, 9, GTvisitorsò^∑ò0e
00:15:C7:AB:06:01, 2012-03-03 15:26:21, -83, 1, 3180, 10, GTwirelessò^∑ò0e
00:15:C7:AA:D1:A1, 2012-03-03 15:26:21, -61, 1, 3257, 10, GTwirelessò^∑ò0e
00:13:10:43:4F:22, 2012-03-03 15:26:21, -84, 1, 357, 7, OpenWrtessò^∑ò0e
00:15:C7:AA:D1:A4, 2012-03-03 15:26:21, -61, 1, 3258, 5, GTwpartessò^∑ò0e
00:15:C7:AA:D5:37, 2012-03-03 15:26:21, -85, 1, 4000, 9, GTvisitorsò^∑ò0e
00:15:C7:AB:06:07, 2012-03-03 15:26:21, -83, 1, 3182, 9, GTvisitorsò^∑ò0e
00:15:C7:AA:D1:A7, 2012-03-03 15:26:21, -61, 1, 3259, 9, GTvisitorsò^∑ò0e
00:22:B0:CB:22:8F, 2012-03-03 15:26:21, -66, 3, 1643, 10, MC2LabNetAò^∑ò0e
00:15:C7:AA:D5:31, 2012-03-03 15:26:21, -85, 1, 4001, 10, GTwirelessò^∑ò0e
00:15:C7:AA:D1:A1, 2012-03-03 15:26:21, -61, 1, 3260, 10, GTwirelessò^∑ò0e
00:13:10:43:4F:22, 2012-03-03 15:26:22, -83, 1, 358, 7, OpenWrt
00:15:C7:AA:D1:A4, 2012-03-03 15:26:22, -62, 1, 3261, 5, GTwpart
00:15:C7:AA:D1:A7, 2012-03-03 15:26:22, -62, 1, 3262, 9, GTvisitor
00:15:C7:AB:06:01, 2012-03-03 15:26:22, -84, 1, 3186, 10, GTwireless
00:15:C7:AA:D1:A1, 2012-03-03 15:26:22, -56, 1, 3263, 10, GTwireless
00:13:10:43:4F:22, 2012-03-03 15:26:22, -84, 1, 359, 7, OpenWrt
00:15:C7:AA:D1:A4, 2012-03-03 15:26:22, -57, 1, 3264, 5, GTwpart
00:15:C7:AB:06:07, 2012-03-03 15:26:22, -82, 1, 3188, 9, GTvisitor
