
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1C:57:40:C6:D1, 2012-03-03 15:53:03, 2012-03-03 15:53:17, 133,  -1, WEP , WEP,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
00:12:44:B9:28:40, 2012-03-03 15:52:57, 2012-03-03 15:53:17, 108,  -1, OPN ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:16:9C:49:28:10, 2012-03-03 15:53:02, 2012-03-03 15:53:18, -1,  -1,     ,       ,   , -54,        0,        0,   0.  0.  0.  0,   0, , 
00:14:85:D0:C3:6D, 2012-03-03 15:53:00, 2012-03-03 15:53:19,  6,  54, OPN ,       ,   , -87,       76,        0,   0.  0.  0.  0,   7, shrub-1, 
00:1D:7E:BB:87:32, 2012-03-03 15:53:00, 2012-03-03 15:53:15,  6,  54, WPA , TKIP,PSK, -88,       89,        6,   0.  0.  0.  0,  11, mbs_network, 
00:16:9C:48:F1:04, 2012-03-03 15:52:40, 2012-03-03 15:52:59,  1,  54, WPA2WPA , CCMP TKIP, MGT, -80,      129,        0,   0.  0.  0.  0,   5, GTwpa, 
00:16:9C:48:F1:01, 2012-03-03 15:52:40, 2012-03-03 15:52:58,  1,  54, WEP , WEP,   , -81,      135,        0,   0.  0.  0.  0,  10, GTwireless, 
00:13:10:43:4F:22, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, OPN ,       ,   , -85,       63,        0,   0.  0.  0.  0,   7, OpenWrt, 
00:16:9C:48:F1:07, 2012-03-03 15:52:40, 2012-03-03 15:53:00,  1,  54, OPN ,       ,   , -84,      146,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AA:D1:A1, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, WEP , WEP,   , -77,      192,      909,   0.  0.  0.  0,  10, GTwireless, 
00:22:B0:CB:22:8F, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  3,  54, WPA2, CCMP,PSK, -80,      115,        0,   0.  0.  0.  0,  10, MC2LabNetA, 
00:15:C7:AA:D5:31, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, WEP , WEP,   , -77,      184,       25,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AA:D5:37, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, OPN ,       ,   , -77,      185,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AA:D5:34, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, WPA2WPA , CCMP TKIP, MGT, -77,      148,        2,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AA:D1:A7, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, OPN ,       ,   , -74,      194,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AA:D1:A4, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, WPA2WPA , CCMP TKIP, MGT, -72,      190,       12,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AB:06:07, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, OPN ,       ,   , -63,      194,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AB:06:01, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, WEP , WEP,   , -62,      193,        1,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AB:06:04, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, WPA2WPA , CCMP TKIP, MGT, -65,      193,      585,   0.  0.  0.  0,   5, GTwpa, 
34:08:04:E1:48:58, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  2,  54, WPA2WPA , CCMP TKIP,PSK, -72,      146,        0,   0.  0.  0.  0,   7, stratus, 
02:18:0A:01:B2:51, 2012-03-03 15:52:40, 2012-03-03 15:53:40,  1,  54, OPN ,       ,   ,  -1,      189,        9,   0.  0.  0.  0,   7, lifenet, 
00:26:0B:C8:B0:60, 2012-03-03 15:53:03, 2012-03-03 15:53:13, -1,  -1,     ,       ,   , -85,        0,        0,   0.  0.  0.  0,   0, , 
00:26:0B:C8:B0:64, 2012-03-03 15:53:02, 2012-03-03 15:53:12,  6,  54, WPA2WPA , CCMP TKIP, MGT, -84,       23,        0,   0.  0.  0.  0,   5, GTwpa, 
00:26:0B:C8:B0:67, 2012-03-03 15:53:00, 2012-03-03 15:53:13,  6,  54, OPN ,       ,   , -84,       24,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:26:0B:C8:B0:61, 2012-03-03 15:53:00, 2012-03-03 15:53:11,  6,  54, WEP , WEP,   , -83,       23,        0,   0.  0.  0.  0,  10, GTwireless, 
58:6D:8F:E1:7B:ED, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, WPA2WPA , CCMP TKIP,PSK, -87,      152,       10,   0.  0.  0.  0,   7, abscond, 
00:15:C7:AB:8F:D1, 2012-03-03 15:53:25, 2012-03-03 15:53:36, 11,  54, WEP , WEP,   , -87,        1,        0,   0.  0.  0.  0,  10, GTwireless, 
00:12:44:B9:1C:D4, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2WPA , CCMP TKIP, MGT, -85,        2,       59,   0.  0.  0.  0,   5, GTwpa, 
00:12:44:B9:1C:D7, 2012-03-03 15:53:20, 2012-03-03 15:53:36, 11,  54, OPN ,       ,   , -85,        5,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:22:B0:ED:60:DE, 2012-03-03 15:53:20, 2012-03-03 15:53:39, 11,  54, OPN ,       ,   , -85,       83,       59, 172. 30. 65.215,   5, dlink, 
00:12:44:B9:1C:D1, 2012-03-03 15:53:20, 2012-03-03 15:53:36, 11,  54, WEP , WEP,   , -84,        8,        0,   0.  0.  0.  0,  10, GTwireless, 
00:16:9C:48:EF:E1, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WEP , WEP,   , -84,      155,        0,   0.  0.  0.  0,  10, GTwireless, 
00:16:9C:48:EF:E4, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2WPA , CCMP TKIP, MGT, -84,      128,        0,   0.  0.  0.  0,   5, GTwpa, 
00:16:9C:48:EF:E7, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, OPN ,       ,   , -84,       11,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:0D:28:3E:95:A8, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  11, WEP , WEP,   , -82,      136,        0,   0.  0.  0.  0,   4, john, 
00:15:C7:AB:90:F4, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2WPA , CCMP TKIP, MGT, -79,      170,        0,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AB:90:F1, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WEP , WEP,   , -80,      175,      492,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AB:90:F7, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, OPN ,       ,   , -79,      164,        0,   0.  0.  0.  0,   9, GTvisitor, 
C4:3D:C7:A3:EE:46, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2, CCMP,PSK, -79,      183,        0,   0.  0.  0.  0,   0, , 
C0:C1:C0:06:7F:5B, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, OPN ,       ,   , -78,      194,       19, 192.168.  0.112,   7, linksys, 
00:1C:10:5A:B6:D7, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, WPA2, CCMP,PSK, -76,      188,        2,   0.  0.  0.  0,   8, palantir, 
C4:3D:C7:9D:E1:42, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2, CCMP,PSK, -70,      165,        0,   0.  0.  0.  0,   7, BISmark, 
C4:3D:C7:B0:AE:9F, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2, CCMP,PSK, -70,      188,        0,   0.  0.  0.  0,   9, joon-ucap, 
20:4E:7F:4A:74:78, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2, CCMP,PSK, -68,      190,        0,   0.  0.  0.  0,   7, BISmark, 
C4:3D:C7:B0:AE:63, 2012-03-03 15:53:20, 2012-03-03 15:53:40, 11,  54, WPA2, CCMP,PSK, -64,      187,        0,   0.  0.  0.  0,   7, BISmark, 
00:18:F8:CB:1C:6A, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, WPA , TKIP,PSK, -60,      182,        0,   0.  0.  0.  0,   6, WODNET, 
00:16:9C:49:28:14, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, WPA2WPA , CCMP TKIP, MGT, -57,      176,      130,   0.  0.  0.  0,   5, GTwpa, 
00:16:9C:49:28:17, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, OPN ,       ,   , -55,      185,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:16:9C:49:28:11, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, WEP , WEP,   , -54,      193,        1,   0.  0.  0.  0,  10, GTwireless, 
00:15:C7:AB:90:F0, 2012-03-03 15:52:44, 2012-03-03 15:53:24, 108,  -1, OPN ,       ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
00:15:C7:AB:06:00, 2012-03-03 15:52:54, 2012-03-03 15:53:34, 108,  -1, OPN ,       ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
1A:C1:DE:3A:BC:81, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  11, OPN ,       ,   ,  -1,     1723,        0,   0.  0.  0.  0,   7, hpsetup, 
02:2B:8B:22:36:21, 2012-03-03 15:53:00, 2012-03-03 15:53:20,  6,  54, OPN ,       ,   ,  -1,       77,        0,   0.  0.  0.  0,  17, HP-nomodel.2C9966, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:30:62:51:51:ED, 2012-03-03 15:53:02, 2012-03-03 15:53:02, -89,        1, (not associated) , GTwpa
40:FC:89:3C:B0:5B, 2012-03-03 15:53:24, 2012-03-03 15:53:24, -89,        1, (not associated) ,
64:80:99:0B:A6:CC, 2012-03-03 15:52:41, 2012-03-03 15:52:41, -88,        3, (not associated) , GTwpa
00:13:E8:36:52:4F, 2012-03-03 15:52:50, 2012-03-03 15:52:50, -88,        3, (not associated) ,
88:9F:FA:FA:84:8C, 2012-03-03 15:52:40, 2012-03-03 15:53:40, -86,     1208, 00:15:C7:AA:D1:A1,
F0:CB:A1:23:34:39, 2012-03-03 15:53:27, 2012-03-03 15:53:27, -88,        1, (not associated) , volleyball
00:24:D7:E4:89:D0, 2012-03-03 15:53:31, 2012-03-03 15:53:31, -88,        2, (not associated) ,
14:7D:C5:4F:65:EF, 2012-03-03 15:53:22, 2012-03-03 15:53:22, -87,        2, (not associated) ,
F0:CB:A1:1D:80:96, 2012-03-03 15:52:40, 2012-03-03 15:53:26, -87,        8, (not associated) , bob,DaysHotel,best western,nb60657,2WIRE807
50:EA:D6:9F:F9:0B, 2012-03-03 15:52:40, 2012-03-03 15:53:33, -87,        5, (not associated) , GTwpa
7C:61:93:88:5E:97, 2012-03-03 15:53:08, 2012-03-03 15:53:18, -86,       11, (not associated) , MrFlibble,Chick-fil-A Wi-Fi
00:21:5D:B4:19:C8, 2012-03-03 15:53:29, 2012-03-03 15:53:29, -86,        3, (not associated) , GTwpa
18:46:17:B6:9B:EA, 2012-03-03 15:53:25, 2012-03-03 15:53:36, -86,       15, 00:15:C7:AB:8F:D1, GTwireless
58:1F:AA:54:A9:13, 2012-03-03 15:52:58, 2012-03-03 15:52:58, -85,       14, (not associated) , La Quinta,schHotspot,FoundersWiFi,Toronto Pearson Wi-Fi,F2O,cdcecc11,gogoinflight,ibahn_lobby,IROS2011,El Azteca Cantina
38:E7:D8:16:ED:E7, 2012-03-03 15:52:48, 2012-03-03 15:53:24, -85,       68, 00:16:9C:49:28:14, GTwpa
64:A7:69:77:EC:04, 2012-03-03 15:53:28, 2012-03-03 15:53:29, -85,        5, (not associated) , GTwpa
00:23:76:99:53:B1, 2012-03-03 15:53:03, 2012-03-03 15:53:39, -85,      661, 00:15:C7:AB:90:F1, GTwireless
28:E0:2C:B6:8C:61, 2012-03-03 15:52:47, 2012-03-03 15:53:39, -84,        7, (not associated) , GTwpa
00:26:55:7A:5B:F6, 2012-03-03 15:53:00, 2012-03-03 15:53:20, -84,     1791, 1A:C1:DE:3A:BC:81,
78:E4:00:5D:6B:48, 2012-03-03 15:52:40, 2012-03-03 15:53:40, -83,       16, 00:15:C7:AA:D1:A4,
8C:A9:82:B4:F2:40, 2012-03-03 15:52:44, 2012-03-03 15:53:07, -84,        5, 00:15:C7:AA:D5:31,
00:24:D6:9B:C3:CE, 2012-03-03 15:52:40, 2012-03-03 15:53:40, -77,      709, 00:15:C7:AB:06:04, GTwpa
B4:07:F9:72:30:FF, 2012-03-03 15:53:25, 2012-03-03 15:53:26, -84,        4, (not associated) ,
B4:0E:DC:1A:0F:DE, 2012-03-03 15:52:40, 2012-03-03 15:52:40, -83,        1, 00:15:C7:AB:06:01,
00:13:02:5B:8B:6A, 2012-03-03 15:52:43, 2012-03-03 15:52:43, -83,        2, (not associated) ,
90:4C:E5:2A:01:69, 2012-03-03 15:52:55, 2012-03-03 15:52:55, -83,        1, (not associated) ,
48:60:BC:A7:F2:06, 2012-03-03 15:53:18, 2012-03-03 15:53:18, -83,       27, (not associated) , BlackBearJunction,AWG-WiFi,Alton Jones,Seasons Of Japan,Tanger_Guest_WiFi_HiltonHead2,APT904,apt901,APT904MOTO,wifli0054938,CATSNET
00:21:5D:8B:84:6C, 2012-03-03 15:53:23, 2012-03-03 15:53:23, -83,        5, (not associated) ,
24:AB:81:DF:B8:B3, 2012-03-03 15:53:32, 2012-03-03 15:53:33, -83,        3, (not associated) ,
00:18:0A:01:B4:48, 2012-03-03 15:52:40, 2012-03-03 15:53:40, -78,      405, 02:18:0A:01:B2:51,
00:26:C6:B0:60:4A, 2012-03-03 15:52:53, 2012-03-03 15:53:05, -82,        2, 00:1C:10:5A:B6:D7,
60:33:4B:31:A6:AF, 2012-03-03 15:53:05, 2012-03-03 15:53:05, -82,        2, (not associated) , GOOGLE,AMAZON
E4:CE:8F:60:F0:C5, 2012-03-03 15:53:09, 2012-03-03 15:53:09, -82,        2, 00:1D:7E:BB:87:32,
E0:69:95:44:9E:AB, 2012-03-03 15:52:40, 2012-03-03 15:53:40, -68,        7, (not associated) ,
00:25:D3:E5:90:93, 2012-03-03 15:53:02, 2012-03-03 15:53:37, -81,       34, 00:16:9C:49:28:14,
00:21:6A:66:42:80, 2012-03-03 15:52:40, 2012-03-03 15:52:58, -80,       29, 00:15:C7:AA:D5:31, GTwireless
7C:61:93:EA:D9:0F, 2012-03-03 15:53:02, 2012-03-03 15:53:13, -79,       12, 00:16:9C:49:28:14, GTwpa
0C:60:76:20:68:BF, 2012-03-03 15:52:40, 2012-03-03 15:53:40, -68,       47, 00:15:C7:AB:06:04,
D4:20:6D:22:EA:A3, 2012-03-03 15:52:46, 2012-03-03 15:53:40, -80,       30, 00:16:9C:49:28:14, GTwpa
E4:D5:3D:65:E9:97, 2012-03-03 15:52:52, 2012-03-03 15:53:40, -73,       72, 00:12:44:B9:1C:D4,
20:7C:8F:2F:0D:0A, 2012-03-03 15:53:09, 2012-03-03 15:53:40, -78,       40, 00:15:C7:AA:D5:34,
7C:C5:37:1B:E2:29, 2012-03-03 15:52:55, 2012-03-03 15:53:30, -70,       18, 00:16:9C:49:28:14, GTwpa
00:40:5A:55:4E:8F, 2012-03-03 15:52:44, 2012-03-03 15:52:46, -68,        3, (not associated) , GTwireless
78:E3:B5:FD:86:64, 2012-03-03 15:53:00, 2012-03-03 15:53:20, -65,       77, 02:2B:8B:22:36:21,
E0:B9:A5:85:52:82, 2012-03-03 15:53:00, 2012-03-03 15:53:31, -63,       53, 00:16:9C:49:28:14, GTwpa
74:2F:68:A9:50:54, 2012-03-03 15:53:04, 2012-03-03 15:53:05, -63,        3, (not associated) ,
60:D8:19:C3:28:E2, 2012-03-03 15:53:00, 2012-03-03 15:53:18, -58,        8, 00:16:9C:49:28:14,
00:22:2D:0E:B4:0F, 2012-03-03 15:53:11, 2012-03-03 15:53:11, -53,        1, 00:16:9C:49:28:11, GTwireless
00:40:8C:78:0A:90, 2012-03-03 15:52:44, 2012-03-03 15:53:38, -52,       35, (not associated) , asap
F0:B4:79:63:60:D1, 2012-03-03 15:52:57, 2012-03-03 15:52:57,  -1,        1, 00:15:C7:AB:06:04,

