BSSID, time, power, channel, sequence, essid_length, ESSID
00:19:07:8E:36:64, 2012-02-26 16:30:00, -57, 6, 1093, 5, GTwpa
00:19:07:8E:36:64, 2012-02-26 16:30:00, -57, 6, 1093, 5, GTwpa
00:16:9C:49:28:14, 2012-02-26 16:30:00, -55, 6, 1526, 5, GTwpa
00:16:9C:49:28:14, 2012-02-26 16:30:00, -55, 6, 1526, 5, GTwpa
C0:C1:C0:06:7F:5B, 2012-02-26 16:30:00, -64, 6, 706, 7, linksys
C0:C1:C0:06:7F:5B, 2012-02-26 16:30:00, -64, 6, 706, 7, linksys
00:16:9C:49:28:17, 2012-02-26 16:30:00, -53, 6, 1527, 9, GTvisitor
00:16:9C:49:28:17, 2012-02-26 16:30:00, -53, 6, 1527, 9, GTvisitor
00:1C:10:5A:B6:D7, 2012-02-26 16:30:00, -65, 6, 2026, 8, palantirr
00:1C:10:5A:B6:D7, 2012-02-26 16:30:00, -65, 6, 2026, 8, palantirr
00:19:07:8E:36:61, 2012-02-26 16:30:00, -57, 6, 1098, 10, GTwireless
00:19:07:8E:36:61, 2012-02-26 16:30:00, -57, 6, 1098, 10, GTwireless
00:16:9C:49:28:11, 2012-02-26 16:30:00, -54, 6, 1528, 10, GTwireless
00:16:9C:49:28:11, 2012-02-26 16:30:00, -54, 6, 1528, 10, GTwireless
9C:4E:20:C9:43:57, 2012-02-26 16:30:00, -57, 6, 1279, 9, GTvisitors
9C:4E:20:C9:43:57, 2012-02-26 16:30:00, -57, 6, 1279, 9, GTvisitors
00:22:B0:CB:22:8F, 2012-02-26 16:30:00, -46, 3, 2352, 10, MC2LabNetA
00:22:B0:CB:22:8F, 2012-02-26 16:30:00, -46, 3, 2352, 10, MC2LabNetA
00:18:F8:CB:1C:6A, 2012-02-26 16:30:00, -32, 6, 3865, 6, WODNETNetA
00:18:F8:CB:1C:6A, 2012-02-26 16:30:00, -32, 6, 3865, 6, WODNETNetA
C0:C1:C0:06:7F:5B, 2012-02-26 16:30:00, -66, 6, 710, 7, linksysetA
00:19:07:8E:36:67, 2012-02-26 16:30:00, -57, 6, 1107, 9, GTvisitorA
00:16:9C:49:28:17, 2012-02-26 16:30:00, -55, 6, 1534, 9, GTvisitorA
00:1C:10:5A:B6:D7, 2012-02-26 16:30:00, -56, 6, 2027, 8, palantirrA
00:19:07:8E:36:61, 2012-02-26 16:30:00, -60, 6, 1108, 10, GTwireless
9C:4E:20:C9:43:51, 2012-02-26 16:30:00, -56, 6, 1281, 10, GTwireless
00:16:9C:49:28:11, 2012-02-26 16:30:00, -53, 6, 1535, 10, GTwireless
00:18:F8:CB:1C:6A, 2012-02-26 16:30:00, -32, 6, 3866, 6, WODNETless
00:19:07:8E:36:64, 2012-02-26 16:30:00, -60, 6, 1109, 5, GTwpaTless
00:16:9C:49:28:14, 2012-02-26 16:30:00, -54, 6, 1536, 5, GTwpaTless
C0:C1:C0:06:7F:5B, 2012-02-26 16:30:00, -67, 6, 714, 7, linksysess
9C:4E:20:C9:43:54, 2012-02-26 16:30:00, -62, 6, 1283, 5, GTwpaysess
00:16:9C:49:28:17, 2012-02-26 16:30:00, -54, 6, 1537, 9, GTvisitors
00:1C:10:5A:B6:D7, 2012-02-26 16:30:00, -57, 6, 2028, 8, palantirrs
00:18:F8:CB:1C:6A, 2012-02-26 16:30:00, -32, 6, 3867, 6, WODNETirrs
00:15:C7:AB:06:04, 2012-02-26 16:30:00, -57, 1, 1016, 5, GTwpaTirrs
00:15:C7:AB:06:07, 2012-02-26 16:30:00, -56, 1, 1017, 9, GTvisitors
9C:4E:20:C9:3F:94, 2012-02-26 16:30:00, -56, 1, 2342, 5, GTwpaitors
9C:4E:20:C9:3F:91, 2012-02-26 16:30:01, -56, 1, 2343, 10, GTwireless
00:15:C7:AB:5A:87, 2012-02-26 16:30:01, -63, 1, 1288, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 16:30:01, -70, 1, 9, 10, belkin.5b2
00:15:C7:AB:06:04, 2012-02-26 16:30:01, -61, 1, 1019, 5, GTwpan.5b2
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -65, 1, 1296, 10, GTwireless
00:15:C7:AB:06:07, 2012-02-26 16:30:01, -62, 1, 1020, 9, GTvisitors
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -63, 1, 1304, 5, GTwpa
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -44, 1, 3695, 5, GTwpa
00:15:C7:AB:06:01, 2012-02-26 16:30:01, -62, 1, 1021, 10, GTwireless
00:15:C7:AB:5A:87, 2012-02-26 16:30:01, -63, 1, 1309, 9, GTvisitors
00:15:C7:AA:D1:A7, 2012-02-26 16:30:01, -45, 1, 3696, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 16:30:01, -65, 1, 10, 10, belkin.5b2
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -65, 1, 1313, 10, GTwireless
9C:4E:20:C9:3F:94, 2012-02-26 16:30:01, -56, 1, 2348, 5, GTwpaeless
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -63, 1, 1319, 5, GTwpaeless
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -45, 1, 3698, 5, GTwpa
9C:4E:20:C9:3F:91, 2012-02-26 16:30:01, -56, 1, 2349, 10, GTwireless
00:15:C7:AB:06:01, 2012-02-26 16:30:01, -57, 1, 1024, 10, GTwireless
00:15:C7:AA:D1:A7, 2012-02-26 16:30:01, -45, 1, 3700, 9, GTvisitors
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -62, 1, 1332, 10, GTwireless
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -63, 1, 1337, 5, GTwpaeless
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -45, 1, 3702, 5, GTwpaeless
00:15:C7:AA:D5:34, 2012-02-26 16:30:01, -65, 1, 468, 5, GTwpa
00:15:C7:AB:5A:87, 2012-02-26 16:30:01, -65, 1, 1343, 9, GTvisitor
00:19:A9:43:1C:D1, 2012-02-26 16:30:01, -66, 1, 2573, 10, GTwireless
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -62, 1, 1348, 10, GTwireless
00:19:A9:43:1C:D4, 2012-02-26 16:30:01, -67, 1, 2574, 5, GTwpaeless
9C:4E:20:C9:3F:94, 2012-02-26 16:30:01, -56, 1, 2355, 5, GTwpaeless
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -62, 1, 1353, 5, GTwpaeless
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -45, 1, 3705, 5, GTwpaeless
00:15:C7:AB:5A:87, 2012-02-26 16:30:01, -62, 1, 1358, 9, GTvisitors
9C:4E:20:C9:3F:91, 2012-02-26 16:30:01, -57, 1, 2356, 10, GTwireless
00:15:C7:AA:D1:A7, 2012-02-26 16:30:01, -45, 1, 3706, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 16:30:01, -65, 1, 13, 10, belkin.5b2
00:15:C7:AB:06:04, 2012-02-26 16:30:01, -62, 1, 1031, 5, GTwpan.5b2
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -62, 1, 1364, 10, GTwireless
00:15:C7:AB:06:07, 2012-02-26 16:30:01, -62, 1, 1032, 9, GTvisitors
9C:4E:20:C9:3F:94, 2012-02-26 16:30:01, -59, 1, 2358, 5, GTwpaitors
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -62, 1, 1370, 5, GTwpaitors
9C:4E:20:C9:3F:91, 2012-02-26 16:30:01, -59, 1, 2359, 10, GTwireless
00:15:C7:AA:D1:A7, 2012-02-26 16:30:01, -46, 1, 3709, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 16:30:01, -67, 1, 14, 10, belkin.5b2
9C:4E:20:C9:3F:97, 2012-02-26 16:30:01, -58, 1, 2360, 9, GTvisitor2
00:15:C7:AB:06:04, 2012-02-26 16:30:01, -59, 1, 1034, 5, GTwpaitor2
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -60, 1, 1388, 10, GTwireless
00:22:B0:CB:22:8F, 2012-02-26 16:30:01, -42, 3, 2361, 10, MC2LabNetA
00:15:C7:AB:06:07, 2012-02-26 16:30:01, -59, 1, 1035, 9, GTvisitorA
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -61, 1, 1394, 5, GTwpaitorA
9C:4E:20:C9:3F:94, 2012-02-26 16:30:01, -60, 1, 2361, 5, GTwpaitorA
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -45, 1, 3711, 5, GTwpaitorA
94:44:52:FB:65:B2, 2012-02-26 16:30:01, -67, 1, 15, 10, belkin.5b2
00:15:C7:AB:06:04, 2012-02-26 16:30:01, -58, 1, 1037, 5, GTwpan.5b2
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -58, 1, 1412, 10, GTwireless
00:22:B0:CB:22:8F, 2012-02-26 16:30:01, -43, 3, 2362, 10, MC2LabNetA
00:15:C7:AB:06:07, 2012-02-26 16:30:01, -58, 1, 1038, 9, GTvisitorA
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -57, 1, 1416, 5, GTwpaitorA
9C:4E:20:C9:3F:94, 2012-02-26 16:30:01, -58, 1, 2364, 5, GTwpaitorA
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -45, 1, 3714, 5, GTwpaitorA
00:15:C7:AB:06:01, 2012-02-26 16:30:01, -55, 1, 1039, 10, GTwireless
9C:4E:20:C9:3F:97, 2012-02-26 16:30:01, -64, 1, 2366, 9, GTvisitor
00:15:C7:AB:06:04, 2012-02-26 16:30:01, -56, 1, 1041, 5, GTwpaitor
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -57, 1, 1425, 10, GTwireless
00:15:C7:AB:06:07, 2012-02-26 16:30:01, -56, 1, 1045, 9, GTvisitors
00:15:C7:AB:5A:84, 2012-02-26 16:30:01, -57, 1, 1431, 5, GTwpaitors
00:15:C7:AA:D1:A4, 2012-02-26 16:30:01, -50, 1, 3717, 5, GTwpaitors
00:15:C7:AB:06:01, 2012-02-26 16:30:01, -56, 1, 1046, 10, GTwireless
00:15:C7:AB:5A:87, 2012-02-26 16:30:01, -57, 1, 1437, 9, GTvisitors
00:15:C7:AA:D1:A7, 2012-02-26 16:30:01, -45, 1, 3721, 9, GTvisitors
9C:4E:20:C9:3F:97, 2012-02-26 16:30:01, -58, 1, 2371, 9, GTvisitor
00:15:C7:AB:06:04, 2012-02-26 16:30:01, -57, 1, 1048, 5, GTwpaitor
00:15:C7:AB:5A:81, 2012-02-26 16:30:01, -59, 1, 1445, 10, GTwireless
9C:4E:20:C9:3F:94, 2012-02-26 16:30:01, -61, 1, 2372, 5, GTwpaeless
00:15:C7:AB:06:01, 2012-02-26 16:30:01, -55, 1, 1052, 10, GTwireless
00:15:C7:AB:5A:87, 2012-02-26 16:30:01, -65, 1, 1457, 9, GTvisitors
94:44:52:FB:65:B2, 2012-02-26 16:30:01, -67, 1, 18, 10, belkin.5b2
9C:4E:20:C9:3F:91, 2012-02-26 16:30:01, -59, 1, 2373, 10, GTwireless
00:16:9C:48:F1:07, 2012-02-26 16:30:01, -63, 1, 1503, 9, GTvisitors
