
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
02:2B:8B:22:36:21, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, OPN ,       ,   ,  -1,      129,        0,   0.  0.  0.  0,  17, HP-nomodel.2C9966, 
00:15:C7:AB:06:C0, 2012-02-26 16:41:02, 2012-02-26 16:41:42, 108,  -1, OPN ,       ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:15:C7:AA:E3:84, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA2WPA , CCMP TKIP, MGT, -44,      136,       31,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AA:E3:87, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, OPN ,       ,   , -45,      145,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AA:E3:81, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WEP , WEP,   , -45,      143,        0,   0.  0.  0.  0,  10, GTwireless, 
00:26:0B:C8:B0:67, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, OPN ,       ,   , -46,      145,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:26:0B:C8:B0:61, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WEP , WEP,   , -47,      138,        0,   0.  0.  0.  0,  10, GTwireless, 
00:26:0B:C8:B0:60, 2012-02-26 16:41:26, 2012-02-26 16:41:41, -1,  -1,     ,       ,   , -47,        0,        0,   0.  0.  0.  0,   0, , 
C0:C1:C0:06:7F:5B, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, OPN ,       ,   , -47,      163,        0,   0.  0.  0.  0,   7, linksys, 
00:26:0B:C8:B0:64, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA2WPA , CCMP TKIP, MGT, -48,      144,        1,   0.  0.  0.  0,   5, GTwpa, 
00:18:F8:CB:1C:6A, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA , TKIP,PSK, -48,      167,        0,   0.  0.  0.  0,   6, WODNET, 
00:16:9C:49:28:11, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WEP , WEP,   , -59,       96,        2,   0.  0.  0.  0,  10, GTwireless, 
00:1D:7E:BB:87:32, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA , TKIP,PSK, -60,      155,       11,   0.  0.  0.  0,  11, mbs_network, 
00:15:C7:AB:2D:E7, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, OPN ,       ,   , -60,       89,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:16:9C:49:28:17, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, OPN ,       ,   , -60,       90,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:16:9C:49:28:14, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA2WPA , CCMP TKIP, MGT, -60,       88,        1,   0.  0.  0.  0,   5, GTwpa, 
00:1C:10:5A:B6:D7, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA2, CCMP,PSK, -60,      122,        3,   0.  0.  0.  0,   8, palantir, 
00:15:C7:AB:2D:E4, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WPA2WPA , CCMP TKIP, MGT, -62,       83,        0,   0.  0.  0.  0,   5, GTwpa, 
00:15:C7:AB:2D:E1, 2012-02-26 16:41:21, 2012-02-26 16:41:41,  6,  54, WEP , WEP,   , -62,       80,        0,   0.  0.  0.  0,  10, GTwireless, 
00:1F:CA:51:54:07, 2012-02-26 16:41:33, 2012-02-26 16:41:35,  6,  54, OPN ,       ,   , -63,        1,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:15:C7:AB:5B:34, 2012-02-26 16:41:24, 2012-02-26 16:41:24,  6,  54, WPA2WPA , CCMP TKIP, MGT, -65,        3,        0,   0.  0.  0.  0,   5, GTwpa, 
00:19:A9:43:1C:D1, 2012-02-26 16:41:03, 2012-02-26 16:42:06,  1,  54, WEP , WEP,   , -62,        1,        0,   0.  0.  0.  0,  10, GTwireless, 
08:1F:F3:B3:EB:47, 2012-02-26 16:41:02, 2012-02-26 16:42:07,  1,  54, OPN ,       ,   , -64,        5,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:19:A9:43:1C:D4, 2012-02-26 16:41:03, 2012-02-26 16:41:08,  1,  54, WPA2WPA , CCMP TKIP, MGT, -65,        0,        0,   0.  0.  0.  0,   5, GTwpa, 
08:1F:F3:B3:EB:41, 2012-02-26 16:41:01, 2012-02-26 16:42:07,  1,  54, WEP , WEP,   , -65,       10,        0,   0.  0.  0.  0,  10, GTwireless, 
08:1F:F3:B3:EB:44, 2012-02-26 16:41:03, 2012-02-26 16:41:18,  1,  54, WPA2WPA , CCMP TKIP, MGT, -65,        3,        0,   0.  0.  0.  0,   5, GTwpa, 
00:19:A9:43:1C:D7, 2012-02-26 16:41:01, 2012-02-26 16:41:19,  1,  54, OPN ,       ,   , -64,       22,        0,   0.  0.  0.  0,   9, GTvisitor, 
00:1F:CA:51:54:04, 2012-02-26 16:41:33, 2012-02-26 16:41:38,  6,  54, WPA2WPA , CCMP TKIP, MGT, -63,        2,        0,   0.  0.  0.  0,   5, GTwpa, 
00:16:9C:49:28:10, 2012-02-26 16:41:24, 2012-02-26 16:41:39, -1,  -1,     ,       ,   , -58,        0,        0,   0.  0.  0.  0,   0, , 
