BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D1:A7, 2012-02-26 13:20:55, -41, 1, 339, 9, GTvisitorïˆ`·˜Àé
00:15:C7:AA:D5:37, 2012-02-26 13:20:55, -73, 1, 1259, 9, GTvisitorïˆ`·˜Àé
34:08:04:E1:48:58, 2012-02-26 13:20:55, -67, 2, 1668, 7, stratusorïˆ`·˜Àé
00:19:A9:43:1C:D7, 2012-02-26 13:20:55, -86, 1, 2033, 9, GTvisitorïˆ`·˜Àé
00:15:C7:AA:D1:A4, 2012-02-26 13:20:55, -39, 1, 341, 5, GTwpaitorïˆ`·˜Àé
00:15:C7:AB:04:21, 2012-02-26 13:20:55, -80, 1, 1250, 10, GTwirelessˆ`·˜Àé
00:15:C7:AA:D5:34, 2012-02-26 13:20:55, -72, 1, 1261, 5, GTwpaelessˆ`·˜Àé
00:15:C7:AA:D1:A7, 2012-02-26 13:20:55, -40, 1, 343, 9, GTvisitorsˆ`·˜Àé
00:15:C7:AA:D1:A1, 2012-02-26 13:20:55, -39, 1, 344, 10, GTwirelessˆ`·˜Àé
00:22:B0:CB:22:8F, 2012-02-26 13:20:55, -74, 3, 1219, 10, MC2LabNetAˆ`·˜Àé
00:15:C7:AA:D5:31, 2012-02-26 13:20:55, -73, 1, 1263, 10, GTwirelessˆ`·˜Àé
00:19:A9:43:1C:D7, 2012-02-26 13:20:55, -84, 1, 2036, 9, GTvisitorsˆ`·˜Àé
00:15:C7:AA:D1:A4, 2012-02-26 13:20:55, -39, 1, 345, 5, GTwpaitorsˆ`·˜Àé
00:15:C7:AB:38:B4, 2012-02-26 13:20:55, -81, 1, 1070, 5, GTwpaitorsˆ`·˜Àé
00:15:C7:AA:D5:34, 2012-02-26 13:20:55, -72, 1, 1264, 5, GTwpaitorsˆ`·˜Àé
00:15:C7:AA:D1:A7, 2012-02-26 13:20:55, -40, 1, 346, 9, GTvisitor
00:15:C7:AB:38:B7, 2012-02-26 13:20:55, -82, 1, 1071, 9, GTvisitor
00:19:A9:43:1C:D1, 2012-02-26 13:20:55, -85, 1, 2037, 10, GTwireless
00:15:C7:AA:D5:37, 2012-02-26 13:20:55, -72, 1, 1265, 9, GTvisitors
00:15:C7:AA:D1:A1, 2012-02-26 13:20:55, -39, 1, 347, 10, GTwireless
00:15:C7:AB:04:27, 2012-02-26 13:20:55, -78, 1, 1256, 9, GTvisitors
00:22:B0:CB:22:8F, 2012-02-26 13:20:55, -73, 3, 1220, 10, MC2LabNetA
34:08:04:E1:48:58, 2012-02-26 13:20:55, -66, 2, 1670, 7, stratusetA
00:15:C7:AA:D1:A4, 2012-02-26 13:20:55, -40, 1, 348, 5, GTwpausetA
00:15:C7:AB:38:B4, 2012-02-26 13:20:55, -81, 1, 1073, 5, GTwpausetA
00:15:C7:AA:D5:34, 2012-02-26 13:20:55, -75, 1, 1288, 5, GTwpausetA
00:15:C7:AA:D1:A7, 2012-02-26 13:20:55, -39, 1, 349, 9, GTvisitorA
00:15:C7:AB:38:B7, 2012-02-26 13:20:55, -82, 1, 1074, 9, GTvisitor
00:15:C7:AA:D5:37, 2012-02-26 13:20:55, -72, 1, 1293, 9, GTvisitor
00:15:C7:AA:D1:A1, 2012-02-26 13:20:55, -39, 1, 350, 10, GTwireless
00:15:C7:AB:04:27, 2012-02-26 13:20:55, -79, 1, 1259, 9, GTvisitors
00:22:B0:CB:22:8F, 2012-02-26 13:20:55, -73, 3, 1221, 10, MC2LabNetA
00:15:C7:AA:D5:31, 2012-02-26 13:20:55, -75, 1, 1299, 10, GTwireless
00:15:C7:AA:D1:A4, 2012-02-26 13:20:55, -40, 1, 351, 5, GTwpaeless
00:15:C7:AB:04:21, 2012-02-26 13:20:55, -79, 1, 1260, 10, GTwireless
00:15:C7:AB:38:B4, 2012-02-26 13:20:55, -83, 1, 1076, 5, GTwpaeless
