BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -77, 1, 849, 5, GTwpa4±èøÔH`∑Ä¿Ì	
00:16:9C:48:F1:04, 2012-03-03 15:38:03, -86, 1, 1585, 5, GTwpa4±èøÔH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -72, 1, 3546, 9, GTvisitorÔH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -51, 1, 2563, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -77, 1, 850, 9, GTvisitorsH`∑Ä¿Ì	
00:16:9C:48:F1:07, 2012-03-03 15:38:03, -86, 1, 1586, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A1, 2012-03-03 15:38:03, -84, 1, 2303, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -77, 1, 851, 10, GTwirelessH`∑Ä¿Ì	
34:08:04:E1:48:58, 2012-03-03 15:38:03, -76, 2, 13, 7, stratusessH`∑Ä¿Ì	
00:16:9C:48:F1:01, 2012-03-03 15:38:03, -87, 1, 1587, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -83, 1, 2304, 5, GTwpaelessH`∑Ä¿Ì	
C4:3D:C7:B0:AE:9F, 2012-03-03 15:38:03, -73, -1, 3179, 9, joon-uca0sH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -54, 1, 2565, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:24, 2012-03-03 15:38:03, -72, 1, 3548, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A7, 2012-03-03 15:38:03, -83, 1, 2305, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -77, 1, 852, 5, GTwpaitorsH`∑Ä¿Ì	
00:16:9C:48:F1:04, 2012-03-03 15:38:03, -87, 1, 1588, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -74, 1, 3549, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -54, 1, 2566, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -78, 1, 853, 9, GTvisitorsH`∑Ä¿Ì	
00:16:9C:48:F1:07, 2012-03-03 15:38:03, -86, 1, 1589, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A1, 2012-03-03 15:38:03, -83, 1, 2306, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:04:21, 2012-03-03 15:38:03, -71, 1, 3550, 10, GTwirelessH`∑Ä¿Ì	
34:08:04:E1:48:58, 2012-03-03 15:38:03, -75, 2, 14, 7, stratusessH`∑Ä¿Ì	
00:16:9C:48:F1:01, 2012-03-03 15:38:03, -87, 1, 1590, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -85, 1, 2307, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -52, 1, 2568, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -77, 1, 855, 5, GTwpaitorsH`∑Ä¿Ì	
00:16:9C:48:F1:04, 2012-03-03 15:38:03, -88, 1, 1591, 5, GTuÚaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -71, 1, 3552, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -51, 1, 2569, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -77, 1, 856, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:21, 2012-03-03 15:38:03, -71, 1, 3553, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D5:34, 2012-03-03 15:38:03, -51, 1, 2570, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -79, 1, 857, 10, GTwirelessH`∑Ä¿Ì	
34:08:04:E1:48:58, 2012-03-03 15:38:03, -74, 2, 15, 7, stratusessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -52, 1, 2571, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:24, 2012-03-03 15:38:03, -72, 1, 3554, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -78, 1, 858, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -71, 1, 3555, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -51, 1, 2572, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -78, 1, 859, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A1, 2012-03-03 15:38:03, -84, 1, 2312, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:04:21, 2012-03-03 15:38:03, -71, 1, 3556, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D5:34, 2012-03-03 15:38:03, -52, 1, 2573, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -79, 1, 860, 10, GTwirelessH`∑Ä¿Ì	
34:08:04:E1:48:58, 2012-03-03 15:38:03, -73, 2, 16, 7, stratusessH`∑Ä¿Ì	
00:16:9C:48:F1:01, 2012-03-03 15:38:03, -88, 1, 1596, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -83, 1, 2313, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -51, 1, 2574, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:24, 2012-03-03 15:38:03, -70, 1, 3557, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -78, 1, 861, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -70, 1, 3558, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -51, 1, 2575, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -79, 1, 862, 9, GTvisitorsH`∑Ä¿Ì	
00:16:9C:48:F1:07, 2012-03-03 15:38:03, -85, 1, 1598, 9, G‹r8=h¥.rsH`∑Ä¿Ì	
00:15:C7:AB:04:21, 2012-03-03 15:38:03, -71, 1, 3559, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D5:34, 2012-03-03 15:38:03, -51, 1, 2576, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -79, 1, 863, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -83, 1, 2319, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -51, 1, 2578, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:24, 2012-03-03 15:38:03, -71, 1, 3560, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -77, 1, 867, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -72, 1, 3561, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -50, 1, 2579, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -78, 1, 868, 9, GTvisitorsH`∑Ä¿Ì	
00:16:9C:48:F1:07, 2012-03-03 15:38:03, -86, 1, 1602, 9, G‹riÛ!t_.sH`∑Ä¿Ì	
00:15:C7:AB:04:21, 2012-03-03 15:38:03, -74, 1, 3562, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D5:34, 2012-03-03 15:38:03, -51, 1, 2580, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -78, 1, 869, 10, GTwirelessH`∑Ä¿Ì	
34:08:04:E1:48:58, 2012-03-03 15:38:03, -73, 2, 18, 7, stratusessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -82, 1, 2322, 5, GTwpausessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -51, 1, 2581, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:24, 2012-03-03 15:38:03, -76, 1, 3564, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -79, 1, 870, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -76, 1, 3565, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -51, 1, 2582, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -80, 1, 871, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:21, 2012-03-03 15:38:03, -75, 1, 3566, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D5:34, 2012-03-03 15:38:03, -52, 1, 2583, 5, GTwpaelessH`∑Ä¿Ì	
00:13:10:43:4F:22, 2012-03-03 15:38:03, -72, 1, 3152, 7, OpenWrtessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -80, 1, 872, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -81, 1, 2326, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -55, 1, 2584, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A7, 2012-03-03 15:38:03, -83, 1, 2327, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -78, 1, 873, 5, GTwpaitorsH`∑Ä¿Ì	
00:16:9C:48:F1:04, 2012-03-03 15:38:03, -85, 1, 1610, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -54, 1, 2591, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -78, 1, 877, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A1, 2012-03-03 15:38:03, -84, 1, 2334, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D5:34, 2012-03-03 15:38:03, -50, 1, 2598, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AB:38:B1, 2012-03-03 15:38:03, -78, 1, 881, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AA:D1:A4, 2012-03-03 15:38:03, -84, 1, 2335, 5, GTwpaelessH`∑Ä¿Ì	
00:15:C7:AA:D5:37, 2012-03-03 15:38:03, -50, 1, 2599, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:04:24, 2012-03-03 15:38:03, -64, 1, 3582, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AA:D1:A7, 2012-03-03 15:38:03, -84, 1, 2336, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AB:38:B4, 2012-03-03 15:38:03, -78, 1, 882, 5, GTwpaitorsH`∑Ä¿Ì	
00:15:C7:AB:04:27, 2012-03-03 15:38:03, -63, 1, 3583, 9, GTvisitorsH`∑Ä¿Ì	
00:15:C7:AA:D5:31, 2012-03-03 15:38:03, -50, 1, 2600, 10, GTwirelessH`∑Ä¿Ì	
00:15:C7:AB:38:B7, 2012-03-03 15:38:03, -78, 1, 883, 9, GTvisitorsH`∑Ä¿Ì	
