BSSID, time, power, channel, sequence, essid_length, ESSID
00:15:C7:AA:D6:67, 2012-03-03 15:51:04, -75, 11, 3835, 9, GTvisitorÔ(_∑ò¿`	
00:12:44:B9:1C:D4, 2012-03-03 15:51:04, -68, 11, 3357, 5, GTwpaitorÔ(_∑ò¿`	
00:22:B0:ED:60:DE, 2012-03-03 15:51:04, -61, 11, 845, 5, dlinkitorÔ(_∑ò¿`	
00:0D:28:3E:95:A8, 2012-03-03 15:51:04, -68, 11, 1036, 4, johnkitorÔ(_∑ò¿`	
00:15:C7:AA:D6:64, 2012-03-03 15:51:04, -77, 11, 3839, 5, GTwpaitorÔ(_∑ò¿`	
08:1F:F3:E1:98:F7, 2012-03-03 15:51:04, -85, 11, 1389, 9, GTvisitorÔ(_∑ò¿`	
C4:3D:C7:9D:E1:42, 2012-03-03 15:51:04, -76, 11, 1413, 7, BISmarkorÔ(_∑ò¿`	
00:15:C7:AA:D6:67, 2012-03-03 15:51:04, -81, 11, 3840, 9, GTvisitorÔ(_∑ò¿`	
00:12:44:B9:1C:D4, 2012-03-03 15:51:04, -64, 11, 3360, 5, GTwpaitorÔ(_∑ò¿`	
00:15:C7:AA:D5:37, 2012-03-03 15:51:04, -71, 1, 2575, 9, GTvisitorÔ(_∑ò¿`	
00:15:C7:AB:04:24, 2012-03-03 15:51:04, -67, 1, 511, 5, GTwpaitorÔ(_∑ò¿`	
00:15:C7:AA:D1:A7, 2012-03-03 15:51:04, -72, 1, 1861, 9, GTvisitorÔ(_∑ò¿`	
00:15:C7:AB:38:B4, 2012-03-03 15:51:04, -81, 1, 2895, 5, GTwpaitorÔ(_∑ò¿`	
00:15:C7:AB:06:07, 2012-03-03 15:51:04, -67, 1, 1391, 9, GTvisitorÔ(_∑ò¿`	
00:15:C7:AB:04:27, 2012-03-03 15:51:04, -69, 1, 512, 9, GTvisitorÔ(_∑ò¿`	
00:15:C7:AA:D5:31, 2012-03-03 15:51:04, -72, 1, 2576, 10, GTwireless(_∑ò¿`	
08:1F:F3:B3:EB:47, 2012-03-03 15:51:04, -84, 1, 2985, 9, GTvisitors(_∑ò¿`	
00:15:C7:AA:D1:A1, 2012-03-03 15:51:04, -75, 1, 1862, 10, GTwireless(_∑ò¿`	
00:15:C7:AB:06:01, 2012-03-03 15:51:04, -69, 1, 1395, 10, GTwireless(_∑ò¿`	
00:13:10:43:4F:22, 2012-03-03 15:51:04, -68, 1, 2926, 7, OpenWrt
00:23:69:56:51:AB, 2012-03-03 15:51:04, -73, 3, 2556, 9, 
