capture_location_name;capture_location_floor;capture_location_x_pos;capture_location_y_pos
2K001;2;777;1616
2K002;2;957;1604
2K003;2;1129;1600
2K004;2;1248;1644
2K005;2;1068;1749
2K006;2;1085;1859
2K007;2;1112;1998
2K008;2;1135;2081
2K009;2;1167;2180
2K010;2;1209;2298
2K011;2;1324;2278
2K012;2;1239;2452
2K030;2;1398;2251
3K001;3;763;1524
3K002;3;925;1514
3K003;3;1130;1513
3K004;3;1229;1556
3K005;3;1052;1653
3K006;3;1068;1768
3K007;3;1082;1903
3K008;3;1105;1974
3K009;3;1129;2046
3K010;3;1185;2195
3K011;3;1296;2182
3K030;3;1367;2169
3K012;3;1221;2367
2K031;2;1341;2666
3K031;3;1318;2568
2K021;2;1387;2481
2K015;2;1531;2396
2K016;2;1660;2324
2K017;2;1789;2244
2K019;2;1922;2165
2K020;2;2049;2089
2K029;2;2030;1939
2K028;2;2155;2135
2K027;2;2193;2298
2K026;2;2053;2383
2K025;2;1928;2460
2K024;2;1797;2535
2K018;2;1731;2417
2K023;2;1666;2612
2K022;2;1562;2670
2K014;2;1421;2752
3K021;3;1357;2386
3K015;3;1505;2300
3K016;3;1637;2222
3K017;3;1768;2146
3K019;3;1899;2069
3K020;3;2025;1995
3K029;3;1994;1841
3K028;3;2138;2044
3K027;3;2165;2206
3K026;3;2037;2286
3K025;3;1905;2363
3K024;3;1775;2439
3K018;3;1704;2323
3K023;3;1644;2515
3K022;3;1544;2580
3K014;3;1394;2658
